calibration_samples,seed,tau_positive,tau_negative,auroc,fpr95
16,7,6.5928192138671875,-5.296859264373779,0.9999418960244648,0.0
16,21,6.660159111022949,-5.224680423736572,0.9999418960244648,0.0
16,42,6.690581321716309,-5.269126892089844,0.9999449541284403,0.0
16,84,6.735691547393799,-5.252179145812988,0.9999449541284403,0.0
16,168,6.661418914794922,-5.254973411560059,0.9999418960244648,0.0
32,7,6.695002555847168,-5.303038120269775,0.9999434250764526,0.0
32,21,6.684164047241211,-5.330877304077148,0.9999434250764526,0.0
32,42,6.737724304199219,-5.3161115646362305,0.9999418960244648,0.0
32,84,6.765827178955078,-5.299452781677246,0.9999434250764526,0.0
32,168,6.753827095031738,-5.360935211181641,0.9999449541284403,0.0
64,7,6.725192546844482,-5.278146743774414,0.9999434250764526,0.0
64,21,6.752871513366699,-5.29829740524292,0.9999434250764526,0.0
64,42,6.705905914306641,-5.31205940246582,0.9999434250764526,0.0
64,84,6.702930927276611,-5.293506622314453,0.9999434250764526,0.0
64,168,6.751793384552002,-5.342422008514404,0.9999418960244648,0.0
128,7,6.729323387145996,-5.293539047241211,0.9999434250764526,0.0
128,21,6.704241752624512,-5.275795936584473,0.9999449541284403,0.0
128,42,6.66909122467041,-5.28350830078125,0.9999434250764526,0.0
128,84,6.717106819152832,-5.297194957733154,0.9999434250764526,0.0
128,168,6.746395111083984,-5.287588119506836,0.9999434250764526,0.0
256,7,6.734097480773926,-5.285741806030273,0.9999434250764526,0.0
256,21,6.734097480773926,-5.285741806030273,0.9999434250764526,0.0
256,42,6.734097480773926,-5.285741806030273,0.9999434250764526,0.0
256,84,6.734097480773926,-5.285741806030273,0.9999434250764526,0.0
256,168,6.734097480773926,-5.285741806030273,0.9999434250764526,0.0
