layer,variant,auroc,fpr95
encoder_middle,magnitude_only,0.9999434250764526,0.0
encoder_middle,all,0.9999006116207951,0.001
encoder_middle,positive_only,0.9994755351681957,0.002
encoder_middle,response_selected_20pct,0.9992186544342507,0.005
encoder_middle,negative_only,0.9986207951070337,0.007
encoder_early,negative_only,0.9976911314984709,0.013
encoder_early,response_selected_20pct,0.9959892966360857,0.011
encoder_early,magnitude_only,0.9904602446483181,0.039
encoder_early,all,0.9896651376146788,0.044
encoder_middle,frequency_only,0.9573799694189602,0.34
encoder_early,positive_only,0.9284250764525994,0.249
encoder_late,negative_only,0.9206116207951072,0.367
encoder_late,frequency_only,0.9109732415902142,0.507
encoder_late,all,0.9027538226299695,0.466
encoder_late,magnitude_only,0.9016039755351681,0.452
encoder_late,response_selected_20pct,0.8928012232415902,0.443
encoder_early,frequency_only,0.8434556574923547,0.515
encoder_late,positive_only,0.7218119266055046,0.945
decoder_late,response_selected_20pct,0.7135015290519878,0.475
decoder_late,positive_only,0.628354740061162,0.706
decoder_late,frequency_only,0.5627278287461774,0.958
decoder_late,magnitude_only,0.5152844036697247,0.775
decoder_late,all,0.514434250764526,0.798
decoder_late,negative_only,0.43811391437308866,0.848
