domain,layer,score
NYU_test_ID,encoder_early,17.633034
NYU_test_ID,encoder_early,17.931808
NYU_test_ID,encoder_early,17.994778
NYU_test_ID,encoder_early,17.55648
NYU_test_ID,encoder_early,17.511456
NYU_test_ID,encoder_early,18.009975
NYU_test_ID,encoder_early,17.592686
NYU_test_ID,encoder_early,17.488514
NYU_test_ID,encoder_early,18.880785
NYU_test_ID,encoder_early,17.394062
NYU_test_ID,encoder_early,17.990868
NYU_test_ID,encoder_early,17.931896
NYU_test_ID,encoder_early,17.300354
NYU_test_ID,encoder_early,17.71798
NYU_test_ID,encoder_early,16.779371
NYU_test_ID,encoder_early,18.440113
NYU_test_ID,encoder_early,19.118877
NYU_test_ID,encoder_early,17.393814
NYU_test_ID,encoder_early,17.473372
NYU_test_ID,encoder_early,18.024696
NYU_test_ID,encoder_early,19.189522
NYU_test_ID,encoder_early,18.942425
NYU_test_ID,encoder_early,18.709652
NYU_test_ID,encoder_early,17.92235
NYU_test_ID,encoder_early,18.083542
NYU_test_ID,encoder_early,17.38226
NYU_test_ID,encoder_early,18.95633
NYU_test_ID,encoder_early,17.341
NYU_test_ID,encoder_early,16.56366
NYU_test_ID,encoder_early,17.424973
NYU_test_ID,encoder_early,18.19149
NYU_test_ID,encoder_early,17.487923
NYU_test_ID,encoder_early,17.282253
NYU_test_ID,encoder_early,17.38372
NYU_test_ID,encoder_early,18.418852
NYU_test_ID,encoder_early,16.860462
NYU_test_ID,encoder_early,18.73711
NYU_test_ID,encoder_early,17.614124
NYU_test_ID,encoder_early,19.2394
NYU_test_ID,encoder_early,18.580975
NYU_test_ID,encoder_early,19.535122
NYU_test_ID,encoder_early,19.450346
NYU_test_ID,encoder_early,18.412783
NYU_test_ID,encoder_early,19.312454
NYU_test_ID,encoder_early,18.783321
NYU_test_ID,encoder_early,17.81369
NYU_test_ID,encoder_early,18.473598
NYU_test_ID,encoder_early,19.0058
NYU_test_ID,encoder_early,18.773178
NYU_test_ID,encoder_early,18.120993
NYU_test_ID,encoder_early,18.836569
NYU_test_ID,encoder_early,19.032854
NYU_test_ID,encoder_early,18.833574
NYU_test_ID,encoder_early,17.38774
NYU_test_ID,encoder_early,18.041553
NYU_test_ID,encoder_early,15.930712
NYU_test_ID,encoder_early,15.771403
NYU_test_ID,encoder_early,18.162384
NYU_test_ID,encoder_early,19.447771
NYU_test_ID,encoder_early,17.079681
NYU_test_ID,encoder_early,17.318401
NYU_test_ID,encoder_early,19.756107
NYU_test_ID,encoder_early,17.441833
NYU_test_ID,encoder_early,18.86359
NYU_test_ID,encoder_early,16.950531
NYU_test_ID,encoder_early,19.16852
NYU_test_ID,encoder_early,19.85239
NYU_test_ID,encoder_early,19.692749
NYU_test_ID,encoder_early,19.253834
NYU_test_ID,encoder_early,19.380909
NYU_test_ID,encoder_early,16.835838
NYU_test_ID,encoder_early,16.804329
NYU_test_ID,encoder_early,18.058292
NYU_test_ID,encoder_early,16.142563
NYU_test_ID,encoder_early,17.24831
NYU_test_ID,encoder_early,18.317493
NYU_test_ID,encoder_early,19.130424
NYU_test_ID,encoder_early,18.377789
NYU_test_ID,encoder_early,18.628855
NYU_test_ID,encoder_early,18.423038
NYU_test_ID,encoder_early,17.147512
NYU_test_ID,encoder_early,16.973595
NYU_test_ID,encoder_early,19.342417
NYU_test_ID,encoder_early,19.200401
NYU_test_ID,encoder_early,19.088505
NYU_test_ID,encoder_early,18.835619
NYU_test_ID,encoder_early,17.616447
NYU_test_ID,encoder_early,18.704006
NYU_test_ID,encoder_early,16.149376
NYU_test_ID,encoder_early,17.983452
NYU_test_ID,encoder_early,18.480652
NYU_test_ID,encoder_early,19.875744
NYU_test_ID,encoder_early,19.558634
NYU_test_ID,encoder_early,18.678165
NYU_test_ID,encoder_early,14.018919
NYU_test_ID,encoder_early,17.830639
NYU_test_ID,encoder_early,16.967922
NYU_test_ID,encoder_early,17.856478
NYU_test_ID,encoder_early,17.413488
NYU_test_ID,encoder_early,17.672935
NYU_test_ID,encoder_early,18.7817
NYU_test_ID,encoder_early,16.092293
NYU_test_ID,encoder_early,18.443453
NYU_test_ID,encoder_early,19.176876
NYU_test_ID,encoder_early,18.126192
NYU_test_ID,encoder_early,17.799183
NYU_test_ID,encoder_early,18.58688
NYU_test_ID,encoder_early,19.318584
NYU_test_ID,encoder_early,17.480381
NYU_test_ID,encoder_early,18.122192
NYU_test_ID,encoder_early,18.80318
NYU_test_ID,encoder_early,18.498932
NYU_test_ID,encoder_early,16.828876
NYU_test_ID,encoder_early,17.978098
NYU_test_ID,encoder_early,17.617088
NYU_test_ID,encoder_early,17.809198
NYU_test_ID,encoder_early,18.55962
NYU_test_ID,encoder_early,17.472286
NYU_test_ID,encoder_early,17.237453
NYU_test_ID,encoder_early,17.259478
NYU_test_ID,encoder_early,17.407272
NYU_test_ID,encoder_early,17.57169
NYU_test_ID,encoder_early,18.01162
NYU_test_ID,encoder_early,17.43518
NYU_test_ID,encoder_early,18.403225
NYU_test_ID,encoder_early,16.601044
NYU_test_ID,encoder_early,16.472935
NYU_test_ID,encoder_early,16.109531
