positive_quantile,negative_quantile,tau_positive,tau_negative,auroc,fpr95
0.3,0.3,4.190608024597168,-6.686431884765625,1.0,0.0
0.3,0.4,4.190608024597168,-5.900906562805176,1.0,0.0
0.3,0.5,4.190608024597168,-5.285741806030273,1.0,0.0
0.3,0.6,4.190608024597168,-4.742400169372559,1.0,0.0
0.3,0.7,4.190608024597168,-3.974860191345215,1.0,0.0
0.4,0.3,5.232351303100586,-6.686431884765625,1.0,0.0
0.4,0.4,5.232351303100586,-5.900906562805176,1.0,0.0
0.4,0.5,5.232351303100586,-5.285741806030273,1.0,0.0
0.4,0.6,5.232351303100586,-4.742400169372559,1.0,0.0
0.4,0.7,5.232351303100586,-3.974860191345215,1.0,0.0
0.5,0.3,6.734097480773926,-6.686431884765625,1.0,0.0
0.5,0.4,6.734097480773926,-5.900906562805176,1.0,0.0
0.5,0.5,6.734097480773926,-5.285741806030273,1.0,0.0
0.5,0.6,6.734097480773926,-4.742400169372559,1.0,0.0
0.5,0.7,6.734097480773926,-3.974860191345215,1.0,0.0
0.6,0.3,7.4701128005981445,-6.686431884765625,1.0,0.0
0.6,0.4,7.4701128005981445,-5.900906562805176,1.0,0.0
0.6,0.5,7.4701128005981445,-5.285741806030273,1.0,0.0
0.6,0.6,7.4701128005981445,-4.742400169372559,1.0,0.0
0.6,0.7,7.4701128005981445,-3.974860191345215,1.0,0.0
0.7,0.3,8.589112281799316,-6.686431884765625,1.0,0.0
0.7,0.4,8.589112281799316,-5.900906562805176,1.0,0.0
0.7,0.5,8.589112281799316,-5.285741806030273,1.0,0.0
0.7,0.6,8.589112281799316,-4.742400169372559,1.0,0.0
0.7,0.7,8.589112281799316,-3.974860191345215,1.0,0.0
