epoch,train_loss,validation_loss,rmse,abs_rel,delta1,delta2,delta3
1,0.5019316427322315,0.35212798281946617,0.5050047402023117,0.13543924346046318,0.8288916956731981,0.965283687423387,0.9913208069997758
2,0.4300772986329432,0.30144070372605536,0.4364340405796896,0.11688496180570843,0.8768283245492352,0.9764594239264589,0.9940156656035158
3,0.39819570776543634,0.28663023228954,0.41707802174621494,0.11045743404140287,0.8864346514884641,0.9797469643596443,0.9946393097784901
4,0.3722878952376652,0.27360588175602046,0.3996486293763461,0.10784929185266402,0.8995060698231412,0.9807196009705276,0.9946526728442057
5,0.3491647408732638,0.27443399702164745,0.40078931508218607,0.10758237432987562,0.8967328418849546,0.981385350427792,0.9947812216729865
6,0.33162272527061654,0.2411111940376495,0.3585249106139383,0.09604286353607647,0.904193861938515,0.983587384374265,0.9958910349789363
7,0.3119055964712036,0.23314890514757014,0.349805846741441,0.09305573605899803,0.9092238280341224,0.9842518689302698,0.9959560983468625
8,0.29435341938448406,0.2263467966533098,0.34130528745855687,0.09147065352083204,0.9114901617626625,0.9845758676528931,0.9960703653866325
9,0.27666911465692,0.21450891391777,0.32865860785141165,0.0884155931030316,0.9296206474153872,0.9858989758669904,0.9960826374793965
10,0.2619821689196572,0.20459984026821085,0.3165535513920762,0.08294533934724486,0.9319714392469229,0.9867253490434369,0.9964896221780236
11,0.24881672694126025,0.20329198975330542,0.31440790754849796,0.08278854776952085,0.9235313279932414,0.9851463658311579,0.9962714693034181
12,0.23662712036719902,0.19235793020405556,0.30201997473591663,0.07858080760164389,0.9417209655810626,0.9883678335760661,0.9967189689502339
13,0.22727964438937476,0.19123757103502675,0.3007935063084317,0.07777873318315104,0.9428715045685626,0.9886097160644419,0.9968150425177755
14,0.21742553935126455,0.18431644206189368,0.29750846706553136,0.07617601353288349,0.945393146036452,0.9883842949558577,0.9968049392423594
15,0.2095103772566831,0.18085971598667275,0.28928432750471406,0.07415573684770352,0.9487629220384467,0.9894830356279608,0.9970246930741723
16,0.20192220707701952,0.17530930524565885,0.28309420689458153,0.0708717607829239,0.9506588808976085,0.9898863347852466,0.9971565835462893
17,0.19656292358459876,0.17351317594862126,0.28113257490370946,0.07149939808075345,0.9515789369165822,0.989954009533129,0.9971638797160305
18,0.19174520250561025,0.17501404652228722,0.2818407904154716,0.07073183785521117,0.9486194896116734,0.9902122201614894,0.9973335737137796
19,0.18684681080922305,0.1676128613016795,0.27781602420842966,0.07008774235637913,0.9529557979723243,0.9897348361638676,0.9971359059208328
20,0.18223910633354026,0.16782515061633232,0.27474325206310823,0.07021738617622637,0.9547570486838399,0.9900018955890548,0.9971784429421892
