calibration_samples,seed,tau_positive,tau_negative,auroc,fpr95
16,7,0.836871325969696,-1.08195161819458,0.8339755351681958,0.499
16,21,0.8335175514221191,-1.066824197769165,0.8347003058103976,0.497
16,42,0.8317538499832153,-1.066476583480835,0.8346949541284403,0.498
16,84,0.8225328922271729,-1.0470820665359497,0.8355695718654435,0.498
16,168,0.8387845754623413,-1.0722417831420898,0.8344648318042813,0.499
32,7,0.8556505441665649,-1.0986659526824951,0.833085626911315,0.496
32,21,0.8446171879768372,-1.0795972347259521,0.8340963302752293,0.498
32,42,0.8239054679870605,-1.0615787506103516,0.8348440366972477,0.498
32,84,0.8198521137237549,-1.056398630142212,0.8350825688073394,0.499
32,168,0.83147132396698,-1.0729953050613403,0.8343685015290521,0.499
64,7,0.8243681788444519,-1.0622987747192383,0.8348180428134557,0.498
64,21,0.835054874420166,-1.0687094926834106,0.8346085626911314,0.498
64,42,0.8319032192230225,-1.0700136423110962,0.8345443425076453,0.499
64,84,0.8353224992752075,-1.0733866691589355,0.8343944954128439,0.5
64,168,0.8264430165290833,-1.0664150714874268,0.8346330275229359,0.498
128,7,0.8342714905738831,-1.0701525211334229,0.8345412844036697,0.499
128,21,0.8270465135574341,-1.0652387142181396,0.8346804281345565,0.498
128,42,0.8301604986190796,-1.074202537536621,0.8342691131498471,0.5
128,84,0.8319518566131592,-1.0728728771209717,0.8343715596330276,0.499
128,168,0.8322035074234009,-1.0659037828445435,0.834724006116208,0.497
256,7,0.8327638506889343,-1.070592999458313,0.8345229357798164,0.499
256,21,0.8327638506889343,-1.070592999458313,0.8345229357798164,0.499
256,42,0.8327638506889343,-1.070592999458313,0.8345229357798164,0.499
256,84,0.8327638506889343,-1.070592999458313,0.8345229357798164,0.499
256,168,0.8327638506889343,-1.070592999458313,0.8345229357798164,0.499
