layer,variant,auroc,fpr95
encoder_middle,positive_only,0.8775565749235474,0.459
encoder_middle,frequency_only,0.8540290519877676,0.573
encoder_late,positive_only,0.8360565749235473,0.813
encoder_middle,all,0.8358761467889908,0.498
encoder_middle,magnitude_only,0.8345229357798164,0.499
encoder_middle,response_selected_20pct,0.8212110091743119,0.481
encoder_late,frequency_only,0.7935061162079511,0.85
encoder_middle,negative_only,0.7778746177370031,0.565
encoder_early,response_selected_20pct,0.7492385321100917,0.873
encoder_late,all,0.7365030581039755,0.916
encoder_late,response_selected_20pct,0.7362874617737003,0.916
encoder_late,magnitude_only,0.7320657492354741,0.917
encoder_early,positive_only,0.6399189602446484,0.924
encoder_early,magnitude_only,0.6336697247706422,0.921
encoder_early,all,0.6232584097859327,0.929
encoder_early,negative_only,0.6034785932721713,0.929
encoder_late,negative_only,0.5492584097859328,0.986
decoder_late,negative_only,0.4889266055045872,1.0
decoder_late,frequency_only,0.47825688073394496,0.998
decoder_late,all,0.46151070336391437,0.998
decoder_late,magnitude_only,0.4591192660550458,0.999
decoder_late,response_selected_20pct,0.4302614678899082,1.0
encoder_early,frequency_only,0.42350382262996944,0.974
decoder_late,positive_only,0.354802752293578,0.997
