domain,layer,score
NYU_test_ID,encoder_early,19.572376
NYU_test_ID,encoder_early,21.064026
NYU_test_ID,encoder_early,23.920023
NYU_test_ID,encoder_early,26.859715
NYU_test_ID,encoder_early,20.742655
NYU_test_ID,encoder_early,13.96499
NYU_test_ID,encoder_early,21.864773
NYU_test_ID,encoder_early,25.146744
NYU_test_ID,encoder_early,23.782309
NYU_test_ID,encoder_early,22.942768
NYU_test_ID,encoder_early,26.705893
NYU_test_ID,encoder_early,26.291084
NYU_test_ID,encoder_early,24.447985
NYU_test_ID,encoder_early,27.416702
NYU_test_ID,encoder_early,19.208126
NYU_test_ID,encoder_early,22.312893
NYU_test_ID,encoder_early,22.230658
NYU_test_ID,encoder_early,22.629015
NYU_test_ID,encoder_early,20.670292
NYU_test_ID,encoder_early,19.77111
NYU_test_ID,encoder_early,27.535065
NYU_test_ID,encoder_early,24.92935
NYU_test_ID,encoder_early,28.84547
NYU_test_ID,encoder_early,19.011673
NYU_test_ID,encoder_early,24.48177
NYU_test_ID,encoder_early,21.400892
NYU_test_ID,encoder_early,21.312143
NYU_test_ID,encoder_early,24.82741
NYU_test_ID,encoder_early,23.446175
NYU_test_ID,encoder_early,26.31896
NYU_test_ID,encoder_early,25.718323
NYU_test_ID,encoder_early,25.354012
NYU_test_ID,encoder_early,24.47192
NYU_test_ID,encoder_early,25.361385
NYU_test_ID,encoder_early,22.184736
NYU_test_ID,encoder_early,23.582811
NYU_test_ID,encoder_early,25.57424
NYU_test_ID,encoder_early,24.594564
NYU_test_ID,encoder_early,26.947514
NYU_test_ID,encoder_early,27.389889
NYU_test_ID,encoder_early,27.384089
NYU_test_ID,encoder_early,27.612402
NYU_test_ID,encoder_early,27.859957
NYU_test_ID,encoder_early,26.292637
NYU_test_ID,encoder_early,28.507507
NYU_test_ID,encoder_early,29.52362
NYU_test_ID,encoder_early,27.344524
NYU_test_ID,encoder_early,24.748234
NYU_test_ID,encoder_early,24.287352
NYU_test_ID,encoder_early,16.526852
NYU_test_ID,encoder_early,19.769594
NYU_test_ID,encoder_early,24.120026
NYU_test_ID,encoder_early,26.589298
NYU_test_ID,encoder_early,24.257767
NYU_test_ID,encoder_early,21.680244
NYU_test_ID,encoder_early,16.636642
NYU_test_ID,encoder_early,18.416355
NYU_test_ID,encoder_early,20.19611
NYU_test_ID,encoder_early,24.948881
NYU_test_ID,encoder_early,26.459595
NYU_test_ID,encoder_early,27.57898
NYU_test_ID,encoder_early,25.086483
NYU_test_ID,encoder_early,22.739935
NYU_test_ID,encoder_early,18.635326
NYU_test_ID,encoder_early,23.33424
NYU_test_ID,encoder_early,25.611862
NYU_test_ID,encoder_early,24.286856
NYU_test_ID,encoder_early,18.457748
NYU_test_ID,encoder_early,25.002563
NYU_test_ID,encoder_early,27.090708
NYU_test_ID,encoder_early,24.042173
NYU_test_ID,encoder_early,18.024046
NYU_test_ID,encoder_early,24.307451
NYU_test_ID,encoder_early,25.656742
NYU_test_ID,encoder_early,17.991722
NYU_test_ID,encoder_early,17.337393
NYU_test_ID,encoder_early,23.588362
NYU_test_ID,encoder_early,24.832525
NYU_test_ID,encoder_early,22.302082
NYU_test_ID,encoder_early,23.876602
NYU_test_ID,encoder_early,21.909542
NYU_test_ID,encoder_early,21.881477
NYU_test_ID,encoder_early,23.554665
NYU_test_ID,encoder_early,24.082644
NYU_test_ID,encoder_early,25.190197
NYU_test_ID,encoder_early,16.702076
NYU_test_ID,encoder_early,19.150883
NYU_test_ID,encoder_early,24.05975
NYU_test_ID,encoder_early,14.281207
NYU_test_ID,encoder_early,21.962515
NYU_test_ID,encoder_early,23.97821
NYU_test_ID,encoder_early,25.59649
NYU_test_ID,encoder_early,23.33408
NYU_test_ID,encoder_early,23.428411
NYU_test_ID,encoder_early,24.143904
NYU_test_ID,encoder_early,25.940756
NYU_test_ID,encoder_early,22.183428
NYU_test_ID,encoder_early,24.990454
NYU_test_ID,encoder_early,22.51968
NYU_test_ID,encoder_early,20.902964
NYU_test_ID,encoder_early,21.831964
NYU_test_ID,encoder_early,13.316705
NYU_test_ID,encoder_early,16.428831
NYU_test_ID,encoder_early,24.465328
NYU_test_ID,encoder_early,26.066416
NYU_test_ID,encoder_early,23.723684
NYU_test_ID,encoder_early,22.295162
NYU_test_ID,encoder_early,26.426086
NYU_test_ID,encoder_early,24.73669
NYU_test_ID,encoder_early,22.803354
NYU_test_ID,encoder_early,25.815369
NYU_test_ID,encoder_early,25.663696
NYU_test_ID,encoder_early,25.462692
NYU_test_ID,encoder_early,25.287403
NYU_test_ID,encoder_early,26.697906
NYU_test_ID,encoder_early,28.797201
NYU_test_ID,encoder_early,25.389187
NYU_test_ID,encoder_early,26.595333
NYU_test_ID,encoder_early,26.573503
NYU_test_ID,encoder_early,28.74803
NYU_test_ID,encoder_early,26.154552
NYU_test_ID,encoder_early,26.337013
NYU_test_ID,encoder_early,25.497713
NYU_test_ID,encoder_early,20.918741
NYU_test_ID,encoder_early,25.97176
NYU_test_ID,encoder_early,23.32408
NYU_test_ID,encoder_early,25.96867
NYU_test_ID,encoder_early,26.903622
NYU_test_ID,encoder_early,25.642653
NYU_test_ID,encoder_early,27.76039
NYU_test_ID,encoder_early,28.415674
NYU_test_ID,encoder_early,29.90028
NYU_test_ID,encoder_early,26.068832
NYU_test_ID,encoder_early,24.129143
NYU_test_ID,encoder_early,25.489792
NYU_test_ID,encoder_early,27.531208
NYU_test_ID,encoder_early,24.796253
NYU_test_ID,encoder_early,26.774748
NYU_test_ID,encoder_early,28.279684
NYU_test_ID,encoder_early,21.715445
NYU_test_ID,encoder_early,23.890335
NYU_test_ID,encoder_early,22.957123
NYU_test_ID,encoder_early,27.896318
NYU_test_ID,encoder_early,25.747192
NYU_test_ID,encoder_early,27.679037
NYU_test_ID,encoder_early,24.02471
NYU_test_ID,encoder_early,21.69674
NYU_test_ID,encoder_early,21.315916
NYU_test_ID,encoder_early,26.946398
NYU_test_ID,encoder_early,28.538937
NYU_test_ID,encoder_early,28.621067
NYU_test_ID,encoder_early,27.252815
NYU_test_ID,encoder_early,26.556366
NYU_test_ID,encoder_early,26.651258
NYU_test_ID,encoder_early,28.105972
NYU_test_ID,encoder_early,29.084993
NYU_test_ID,encoder_early,29.237705
NYU_test_ID,encoder_early,29.278957
NYU_test_ID,encoder_early,26.204319
NYU_test_ID,encoder_early,30.592903
NYU_test_ID,encoder_early,25.30985
NYU_test_ID,encoder_early,22.948395
NYU_test_ID,encoder_early,15.679671
NYU_test_ID,encoder_early,18.25873
NYU_test_ID,encoder_early,24.964392
NYU_test_ID,encoder_early,27.013475
NYU_test_ID,encoder_early,27.23172
NYU_test_ID,encoder_early,29.098814
NYU_test_ID,encoder_early,25.620953
NYU_test_ID,encoder_early,23.067976
NYU_test_ID,encoder_early,24.568047
NYU_test_ID,encoder_early,24.436901
NYU_test_ID,encoder_early,23.371649
NYU_test_ID,encoder_early,24.61549
NYU_test_ID,encoder_early,21.882927
NYU_test_ID,encoder_early,24.2909
NYU_test_ID,encoder_early,16.784382
NYU_test_ID,encoder_early,25.732407
NYU_test_ID,encoder_early,25.61795
NYU_test_ID,encoder_early,22.047272
NYU_test_ID,encoder_early,22.877205
NYU_test_ID,encoder_early,24.257267
NYU_test_ID,encoder_early,20.857107
NYU_test_ID,encoder_early,25.591175
NYU_test_ID,encoder_early,26.532253
NYU_test_ID,encoder_early,25.311264
NYU_test_ID,encoder_early,25.532888
NYU_test_ID,encoder_early,24.278265
NYU_test_ID,encoder_early,26.091196
NYU_test_ID,encoder_early,27.532192
NYU_test_ID,encoder_early,28.55409
NYU_test_ID,encoder_early,30.658089
NYU_test_ID,encoder_early,28.44541
NYU_test_ID,encoder_early,24.357141
NYU_test_ID,encoder_early,26.819254
NYU_test_ID,encoder_early,25.486376
NYU_test_ID,encoder_early,20.69031
NYU_test_ID,encoder_early,21.716766
NYU_test_ID,encoder_early,6.4285417
NYU_test_ID,encoder_early,27.863863
NYU_test_ID,encoder_early,28.191086
NYU_test_ID,encoder_early,27.79682
NYU_test_ID,encoder_early,26.826996
NYU_test_ID,encoder_early,27.755878
NYU_test_ID,encoder_early,26.50211
NYU_test_ID,encoder_early,25.899715
NYU_test_ID,encoder_early,26.192904
NYU_test_ID,encoder_early,23.021002
NYU_test_ID,encoder_early,23.93075
NYU_test_ID,encoder_early,26.211037
NYU_test_ID,encoder_early,26.529781
NYU_test_ID,encoder_early,25.540298
NYU_test_ID,encoder_early,25.223055
NYU_test_ID,encoder_early,24.877945
NYU_test_ID,encoder_early,25.157364
NYU_test_ID,encoder_early,26.074657
NYU_test_ID,encoder_early,20.393724
NYU_test_ID,encoder_early,26.258778
NYU_test_ID,encoder_early,23.083416
NYU_test_ID,encoder_early,24.222488
NYU_test_ID,encoder_early,27.630825
NYU_test_ID,encoder_early,28.678429
NYU_test_ID,encoder_early,29.20252
NYU_test_ID,encoder_early,25.289997
NYU_test_ID,encoder_early,20.540537
NYU_test_ID,encoder_early,23.138224
NYU_test_ID,encoder_early,24.523598
NYU_test_ID,encoder_early,25.453133
NYU_test_ID,encoder_early,26.480343
NYU_test_ID,encoder_early,23.576187
NYU_test_ID,encoder_early,22.964205
NYU_test_ID,encoder_early,20.444916
NYU_test_ID,encoder_early,22.971777
NYU_test_ID,encoder_early,24.134447
NYU_test_ID,encoder_early,25.191284
NYU_test_ID,encoder_early,22.911182
NYU_test_ID,encoder_early,24.88243
NYU_test_ID,encoder_early,26.590996
NYU_test_ID,encoder_early,28.100014
NYU_test_ID,encoder_early,27.866905
NYU_test_ID,encoder_early,25.436853
NYU_test_ID,encoder_early,28.25129
NYU_test_ID,encoder_early,24.399054
NYU_test_ID,encoder_early,21.422224
NYU_test_ID,encoder_early,23.077435
NYU_test_ID,encoder_early,26.702116
NYU_test_ID,encoder_early,28.384712
NYU_test_ID,encoder_early,28.287146
NYU_test_ID,encoder_early,27.71113
NYU_test_ID,encoder_early,23.987
NYU_test_ID,encoder_early,24.694326
NYU_test_ID,encoder_early,26.060722
NYU_test_ID,encoder_early,28.569973
NYU_test_ID,encoder_early,25.340546
NYU_test_ID,encoder_early,24.845032
NYU_test_ID,encoder_early,22.810316
NYU_test_ID,encoder_early,26.371906
NYU_test_ID,encoder_early,28.841867
NYU_test_ID,encoder_early,24.120575
NYU_test_ID,encoder_early,26.17572
NYU_test_ID,encoder_early,25.161245
NYU_test_ID,encoder_early,20.844627
NYU_test_ID,encoder_early,25.389894
NYU_test_ID,encoder_early,28.121761
NYU_test_ID,encoder_early,26.678911
NYU_test_ID,encoder_early,26.940666
NYU_test_ID,encoder_early,11.7814045
NYU_test_ID,encoder_early,16.897606
NYU_test_ID,encoder_early,19.246956
NYU_test_ID,encoder_early,21.002253
NYU_test_ID,encoder_early,21.506523
NYU_test_ID,encoder_early,22.814953
NYU_test_ID,encoder_early,19.608286
NYU_test_ID,encoder_early,16.913597
NYU_test_ID,encoder_early,22.242977
NYU_test_ID,encoder_early,22.098097
NYU_test_ID,encoder_early,24.721746
NYU_test_ID,encoder_early,21.3412
NYU_test_ID,encoder_early,21.614655
NYU_test_ID,encoder_early,23.957157
