epoch,train_loss,validation_loss,rmse,abs_rel,delta1,delta2,delta3
1,0.4086034854073129,0.23512717450101017,0.478489209293768,0.10170936116266771,0.9145541949751198,0.9800846700960971,0.9925428720871508
2,0.2179856037849169,0.18549333200228219,0.4080400641799324,0.08063998801798919,0.9448168643035023,0.9859068893795006,0.9942604520582461
3,0.17857384773559562,0.1628209537959189,0.34766937676424137,0.0692087169666158,0.9566740158877988,0.9885413749922519,0.9954285170161058
4,0.15759166780933517,0.14778273899347755,0.37760702264113505,0.06534853796214304,0.9614960136610001,0.9890442573257533,0.9950429736290123
5,0.1436601930601451,0.13614860614241048,0.36462205347768295,0.06030354332515501,0.9664416481788142,0.98985257217392,0.995413640633808
6,0.13330134933615467,0.1280697804381237,0.35230287949594946,0.05693613705563916,0.9688666593682721,0.9902871292446179,0.9955423728614958
7,0.12589240567406818,0.1269209057831774,0.3464019275503331,0.058054638139436905,0.9700896094054823,0.9907494712747812,0.9957763344462853
8,0.12005704134314374,0.11980077452071328,0.31177813779310604,0.05216137352687263,0.9727400427808678,0.9915437384180884,0.9963818402438667
9,0.11500217159829447,0.11527712726452713,0.35082900390097854,0.05241923194226721,0.973252568188812,0.9910135173957956,0.995671772165126
10,0.11083161087548979,0.11221357533640097,0.33198690790246144,0.05046519334574816,0.974417076686091,0.9915827178764663,0.9961104378974853
11,0.10737542488606103,0.11058612916338288,0.3475932797347362,0.050643118667585,0.9752915574503125,0.9915012384272764,0.9957893641368839
12,0.10427178535275539,0.10642810856133461,0.33539929380933997,0.048781668484687006,0.9758161303124141,0.9916831190318508,0.9959695682198925
13,0.10152849479197999,0.10545669145922844,0.3397454815208536,0.048362414637199216,0.9763182162887762,0.991849522121617,0.9960425630894565
14,0.09928113541258816,0.10138597446812858,0.3318239603287134,0.046403179799385456,0.9769823829282879,0.9919864641813332,0.9961576861661741
15,0.09674557515853692,0.09955853977940973,0.3324480145956699,0.0455660468116935,0.9773822382449503,0.9920878430633496,0.9961784181097767
16,0.0948796428404952,0.09940729751562861,0.33059089065550157,0.045717039202293364,0.9777435954251475,0.9921984004342992,0.9962540345564767
17,0.09304911669084316,0.09797088937781448,0.3404026596473014,0.04539923850304442,0.9779712722400699,0.9920422862988152,0.9960206052293894
18,0.0915429927918437,0.0985889677717787,0.33001218607767435,0.046311404914628464,0.9779546954843266,0.9922468398688671,0.9962704396388169
19,0.09010317993315489,0.09440723365973705,0.3385609819288763,0.04440597993309581,0.9786591108429578,0.9921881870443754,0.9961175980964795
20,0.08858723468876384,0.1006123994255126,0.33100418586749,0.04614575407825983,0.9783898659642377,0.9923588914147642,0.9963950538595167
